productNo,productName,proxyType,useType,protocol,useLimit,sellLimit,areaCode,countryCode,stateCode,cityCode,detail,costPrice,inventory,ipType,ispType,netType,duration,unit,bandWidth,bandWidthType,bandWidthPrice,maxBandWidth,flow,cpu,memory,enable,supplierCode,cidrBlocks,drawType,refundDuration,ipCount,ipDuration,assignIp,parentNo,cidrStatus,oneDay,offlineCidrBlocks,proxyEverytimeChange,proxyGlobalRandom,apiDrawGlobalRandom,ipWhiteList,pwdDrawProxyUser,proxyUserFlowLimit,flowUseLog,pwdDrawSessionRange,flowConversionBase,resetPassword,projectList,productType
ipv_gnmzgpu5y,ipipv,103,1,"1,2,4",1,2,7,BRA,BRA000,BRA0000SP,ipipv,23.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gnxcjr9hh,ipipv,103,1,"1,2,4",1,2,1,JPN,JPN000,JPN000013,ipipv,20.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":0},{""code"":""whatsapp"",""inventory"":0},{""code"":""twitter"",""inventory"":0},{""code"":""linkedin"",""inventory"":0},{""code"":""shopify"",""inventory"":0},{""code"":""tiktok"",""inventory"":0}]",1
ipv_gnxzqckie,ipipv,103,1,"1,2,4",1,2,1,IDN,IDN000,IDN0000JK,ipipv,20.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,-1,ipv,"[{""cidr"":""202.155.24.0\/24"",""count"":213,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":137},{""code"":""whatsapp"",""inventory"":8},{""code"":""twitter"",""inventory"":2},{""code"":""linkedin"",""inventory"":13},{""code"":""shopify"",""inventory"":10},{""code"":""tiktok"",""inventory"":43}]}]",0,0,0,0,1,,1,1,"[{""cidr"":""202.155.81.0\/24"",""offlineTime"":""2026-05-25 14:48:02""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":137},{""code"":""whatsapp"",""inventory"":8},{""code"":""twitter"",""inventory"":2},{""code"":""linkedin"",""inventory"":13},{""code"":""shopify"",""inventory"":10},{""code"":""tiktok"",""inventory"":43}]",1
ipideash_gmwznupij,ipipv,103,1,"1,2",0,0,3,MLI,MLI000,MLI0000CD,ipipv,15.0000,244,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznug4v,ipipv,103,1,"1,2",0,0,3,ZAF,ZAF000,ZAF000JNB,ipipv,15.0000,363,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznub1a,ipipv,103,1,"1,2",0,0,1,KWT000,KWT000,KWT000000,ipipv,15.0000,243,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznubj2,ipipv,103,1,"1,2",0,0,3,EGY,EGY000,EGY000CAI,ipipv,15.0000,118,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznup92,ipipv,103,1,"1,2",0,0,3,GHA,GHA000,GHA0000GA,ipipv,15.0000,399,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznug2m,ipipv,103,1,"1,2",0,0,3,KEN,KEN000,KEN0000NA,ipipv,15.0000,0,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznup2g,ipipv,103,1,"1,2",0,0,3,COG,COG000,COG000001,ipipv,15.0000,168,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqu4e,ipipv,103,1,"1,2",0,0,3,MAR,MAR000,MAR000000,ipipv,15.0000,152,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqhri,ipipv,103,1,"1,2",0,0,3,NGA,NGA000,NGA000000,ipipv,15.0000,443,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdquj9,ipipv,103,1,"1,2",0,0,3,UGA,UGA000,UGA000000,ipipv,15.0000,220,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gm6ti4tbg,ipipv,103,1,"1,2",0,0,7,BOL,BOL000,BOL000LPB,ipipv,15.0000,208,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqixj,ipipv,103,1,"1,2",0,0,7,ARG,ARG000,ARG000000,ipipv,15.0000,581,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqvqr,ipipv,103,1,"1,2",0,0,7,CHL,CHL000,CHL000000,ipipv,15.0000,71,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdquh4,ipipv,103,1,"1,2",0,0,7,COL,COL000,COL000000,ipipv,15.0000,418,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznuc9p,ipipv,103,1,"1,2",0,0,1,SAU,SAU000,SAU000JED,ipipv,15.0000,0,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznub2t,ipipv,103,1,"1,2",0,0,1,SAU,SAU000,SAU0000RD,ipipv,15.0000,556,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
mb_gn5qre958,ipipv,103,1,"1,2",0,0,7,BRA,BRA000,BRA0000RJ,ipipv,25.0000,239,1,1,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""200.234.165.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""200.234.168.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""200.160.222.0\/24"",""count"":233,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""200.234.167.0\/24"",""offlineTime"":""2026-05-25 14:48:06""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
